ID	Scode
1	2
2	1
3	1
4	2
5	1
6	1
7	1
8	3
9	3
10	1
11	3
12	2
13	1
14	1
15	1
16	3
17	2
18	1
19	1
20	1
21	2
22	2
23	3
24	2
25	1
26	3
27	2
28	1
29	1
30	1
31	1
32	1
33	3
34	1
35	2
36	1
37	3
38	3
39	3
40	1
41	1
42	3
43	1
44	1
45	2
46	3
47	1
48	2
49	1
50	1
51	3
52	1
53	2
54	2
55	3
56	1
57	2
58	1
59	1
60	1
61	1
62	1
63	1
64	1
65	2
66	2
67	1
68	3
69	1
70	1
71	3
72	1
73	1
74	1
75	2
76	1
77	3
78	2
79	3
80	3
81	1
82	2
83	3
84	3
85	1
86	1
87	3
88	2
89	2
90	1
91	3
92	1
93	3
94	1
95	1
96	1
97	1
98	3
99	3
100	3
101	1
102	1
103	1
104	2
105	2
106	1
107	1
108	1
109	1
110	3
111	1
112	3
113	1
114	1
115	1
116	1
117	1
118	3
119	1
120	1
121	1
122	3
123	1
124	1
125	2
126	2
127	1
128	1
129	2
130	1
131	1
132	1
133	1
134	1
135	1
136	1
137	1
138	1
139	3
140	2
141	2
142	1
143	1
144	2
145	1
146	1
147	3
148	1
149	2
150	1
151	1
152	2
153	1
154	3
155	1
156	1
157	1
158	2
159	1
160	3
161	2
162	3
163	1
164	2
165	1
166	2
167	1
168	1
169	2
170	1
171	1
172	2
173	2
174	1
175	3
176	1
177	1
178	1
179	1
180	1
181	3
182	1
183	2
184	1
185	2
186	1
187	2
188	2
189	1
190	3
191	1
192	1
193	1
194	3
195	1
196	3
197	1
198	1
199	1
200	3
201	1
202	1
203	1
204	1
205	1
206	3
207	3
208	2
209	1
210	1
211	2
212	3
213	1
214	1
215	3
216	1
217	2
218	2
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	2
228	1
229	1
230	2
231	1
232	2
233	1
234	3
235	3
236	1
237	1
238	1
239	1
240	3
241	1
242	1
243	3
244	2
245	1
246	2
247	1
248	1
249	3
250	1
251	1
252	2
253	2
254	1
255	3
256	1
257	1
258	1
259	2
260	2
261	1
262	3
263	1
264	1
265	1
266	1
267	1
268	1
269	1
270	2
271	1
272	1
273	3
274	1
275	3
276	1
277	1
278	1
279	1
280	1
281	1
282	2
283	2
284	1
285	1
286	1
287	1
288	1
289	3
290	2
291	1
292	1
293	1
294	1
295	2
296	3
297	2
298	1
299	2
300	3
301	1
302	1
303	1
304	1
305	2
306	1
307	2
308	1
309	1
310	1
311	1
312	1
313	3
314	2
315	1
316	3
317	2
318	1
319	2
320	1
321	2
322	2
323	1
324	1
325	1
326	3
327	1
328	2
329	1
330	2
331	1
332	1
333	3
334	2
335	2
336	3
337	3
338	1
339	3
340	1
341	2
342	1
343	3
344	1
345	1
346	1
347	2
348	1
349	1
350	1
351	1
352	1
353	1
354	2
355	2
356	3
357	1
358	1
359	1
360	2
361	3
362	1
363	2
364	3
365	1
366	1
367	3
368	1
369	2
370	1
371	2
372	1
373	3
374	3
375	2
376	3
377	1
378	3
379	1
380	2
381	2
382	1
383	1
384	1
385	1
386	1
387	1
388	1
389	1
390	1
391	3
392	1
393	1
394	2
395	1
396	2
397	3
398	2
399	3
400	1
401	1
402	3
403	1
404	1
405	1
406	1
407	2
408	1
409	2
410	1
411	3
412	1
413	2
414	1
415	2
416	1
417	2
418	3
419	1
420	1
421	2
422	1
423	2
424	3
425	1
426	3
427	1
428	1
429	1
430	1
431	3
432	3
433	1
434	1
435	1
436	2
437	1
438	1
439	3
440	1
441	3
442	1
443	1
444	1
445	1
446	1
447	2
448	2
449	1
450	3
451	2
452	1
453	1
454	1
455	2
456	1
457	1
458	1
459	1
460	3
461	2
462	3
463	1
464	3
465	1
466	1
467	1
468	1
469	1
470	2
471	1
472	2
473	1
474	1
475	2
476	2
477	1
478	2
479	1
480	2
481	2
482	1
483	2
484	2
485	2
486	1
487	2
488	2
489	1
490	1
491	2
492	1
493	2
494	1
495	3
496	2
497	3
498	1
499	1
500	1
501	1
502	3
503	2
504	1
505	3
506	2
507	1
508	1
509	1
510	3
511	1
512	2
513	2
514	2
515	1
516	2
517	1
518	3
519	3
520	3
521	2
522	2
523	1
524	1
525	2
526	1
527	3
528	1
529	1
530	1
531	1
532	1
533	2
534	1
535	1
536	1
537	2
538	1
539	1
540	3
541	3
542	3
543	2
544	3
545	1
546	1
547	2
548	1
549	1
550	2
551	1
552	3
553	1
554	1
555	2
556	2
557	1
558	1
559	2
560	3
561	3
562	1
563	2
564	1
565	1
566	2
567	3
568	1
569	3
570	1
571	3
572	2
573	1
574	1
575	1
576	2
577	1
578	2
579	1
580	1
581	1
582	1
583	1
584	1
585	3
586	3
587	1
588	2
589	1
590	1
591	3
592	2
593	1
594	1
595	1
596	3
597	2
598	1
599	2
600	1
601	1
602	3
603	1
604	1
605	2
606	2
607	1
608	1
609	1
610	3
611	1
612	1
613	2
614	1
615	1
616	2
617	2
618	2
619	3
620	2
621	2
622	2
623	1
624	3
625	1
626	1
627	1
628	1
629	1
630	1
631	2
632	1
633	1
634	1
635	2
636	1
637	1
638	1
639	3
640	2
641	3
642	2
643	3
644	1
645	2
646	1
647	2
648	2
649	3
650	3
651	2
652	1
653	1
654	1
655	1
656	2
657	3
658	1
659	1
660	1
661	2
662	3
663	1
664	1
665	2
666	1
667	1
668	2
669	1
670	1
671	1
672	3
673	2
674	1
675	1
676	2
677	2
678	2
679	2
680	1
681	1
682	1
683	1
684	1
685	1
686	2
687	1
688	3
689	1
690	1
691	1
692	1
693	1
694	1
695	1
696	2
697	2
698	1
699	3
700	2
701	1
702	1
703	2
704	1
705	1
706	1
707	1
708	1
709	3
710	3
711	3
712	1
713	1
714	1
715	2
716	1
717	1
718	1
719	1
720	1
721	1
722	1
723	1
724	1
725	2
726	3
727	1
728	2
729	2
730	1
731	3
732	3
733	1
734	1
735	3
736	1
737	1
738	2
739	1
740	2
741	1
742	3
743	1
744	1
745	2
746	1
747	1
748	1
749	2
750	1
751	2
752	1
753	1
754	1
755	1
756	3
757	1
758	2
759	1
760	2
761	2
762	2
763	3
764	1
765	1
766	1
767	1
768	3
769	1
770	1
771	1
772	1
773	1
774	2
775	1
776	3
777	1
778	3
779	1
780	1
781	1
782	1
783	1
784	1
785	3
786	1
787	1
788	1
789	1
790	1
791	1
792	1
793	1
794	1
795	1
796	1
797	1
798	1
799	1
800	2
801	3
802	1
803	2
804	1
805	3
806	1
807	3
808	2
809	2
810	1
811	2
812	1
813	2
814	1
815	1
816	1
817	2
818	1
819	1
820	1
821	1
822	1
823	1
824	1
825	2
826	1
827	1
828	1
829	3
830	1
831	1
832	2
833	1
834	1
835	3
836	3
837	2
838	1
839	1
840	1
841	1
842	1
843	3
844	3
845	1
846	1
847	1
848	1
849	2
850	2
851	1
852	1
853	2
854	3
855	1
856	1
857	3
858	2
859	1
860	3
861	1
862	1
863	2
864	2
865	3
866	1
867	3
868	1
869	1
870	1
871	1
872	3
873	1
874	2
875	1
876	2
877	1
878	1
879	1
880	1
881	1
882	1
883	1
884	2
885	1
886	1
887	2
888	1
889	1
890	3
891	1
892	1
893	3
894	1
895	1
896	1
897	1
898	3
899	1
900	1
901	1
902	2
903	1
904	3
905	3
906	2
907	1
908	3
909	1
910	2
911	2
912	2
913	3
914	1
915	1
916	2
917	1
918	1
919	1
920	1
921	1
922	3
923	1
924	1
925	1
926	1
927	1
928	3
929	1
930	1
931	1
932	3
933	2
934	1
935	1
936	2
937	1
938	1
939	1
940	2
941	3
942	1
943	1
944	2
945	3
946	2
947	2
948	3
949	1
950	2
951	3
952	1
953	1
954	2
955	3
956	3
957	2
958	3
959	1
960	1
961	2
962	2
963	1
964	1
965	1
966	2
967	2
968	1
969	3
970	1
971	1
972	1
973	3
974	2
975	1
976	2
977	2
978	1
979	2
980	1
981	1
982	2
983	3
984	2
985	3
986	1
987	1
988	2
989	1
990	2
991	1
992	1
993	1
994	1
995	1
996	1
997	1
998	3
999	1
1000	1
1001	1
1002	1
1003	1
1004	1
1005	2
1006	2
1007	1
1008	1
1009	1
1010	1
1011	1
1012	2
1013	1
1014	1
1015	3
1016	2
1017	1
1018	2
1019	1
1020	1
1021	3
1022	1
1023	1
1024	1
1025	1
1026	2
1027	3
1028	3
1029	1
1030	2
1031	1
1032	1
1033	1
1034	1
1035	3
1036	3
1037	1
1038	2
1039	2
1040	1
1041	3
1042	1
1043	1
1044	1
1045	3
1046	1
1047	1
1048	1
1049	1
1050	1
1051	1
1052	3
1053	2
1054	2
1055	3
1056	2
1057	1
1058	1
1059	1
1060	2
1061	1
1062	2
1063	1
1064	1
1065	1
1066	1
1067	1
1068	2
1069	1
1070	1
1071	1
1072	1
1073	1
1074	3
1075	1
1076	1
1077	1
1078	2
1079	1
1080	1
1081	3
